Timestamp,Node_ID,Source_ID,Demand_kWh,Supply_kWh,Cost_per_kWh,Line_Loss_%
21,N2,Hydro,143.64,480.29,0.069,6.79
7,N8,Hydro,89.0,162.4,0.042,8.93
7,N4,Hydro,200.28,383.23,0.041,9.76
23,N10,Wind,258.11,184.94,0.071,3.47
22,N6,Wind,126.06,309.9,0.086,4.33
4,N8,Wind,202.96,155.8,0.078,4.93
3,N4,Hydro,164.02,414.07,0.048,6.11
2,N5,Wind,198.1,118.58,0.096,3.36
19,N3,Hydro,66.26,479.55,0.079,8.47
0,N10,Wind,126.15,139.07,0.101,5.52
6,N1,Wind,80.51,298.07,0.062,9.27
13,N9,Hydro,114.69,365.01,0.052,6.16
18,N5,Hydro,186.68,173.94,0.079,8.2
20,N6,Solar,284.87,457.93,0.08,9.37
19,N6,Hydro,72.12,178.39,0.042,4.6
15,N1,Hydro,147.17,208.54,0.073,4.85
4,N4,Hydro,120.23,317.08,0.046,8.42
23,N1,Wind,68.64,494.75,0.106,3.59
7,N8,Wind,51.38,426.18,0.102,7.83
3,N1,Hydro,242.82,129.62,0.054,2.93
0,N4,Solar,265.78,349.32,0.067,2.51
5,N10,Solar,127.75,230.07,0.086,7.1
21,N1,Wind,271.8,288.89,0.067,7.71
19,N6,Hydro,240.2,324.51,0.071,5.95
5,N1,Wind,180.68,271.02,0.062,2.86
21,N9,Hydro,57.86,354.56,0.053,6.07
20,N2,Solar,276.89,199.72,0.071,8.04
9,N4,Wind,107.2,130.79,0.077,3.29
22,N5,Wind,282.42,423.25,0.098,8.97
16,N9,Wind,250.92,174.63,0.114,6.31
2,N9,Hydro,251.86,458.44,0.053,2.88
15,N1,Hydro,106.98,270.84,0.073,8.89
4,N2,Wind,51.74,304.3,0.085,3.78
6,N9,Wind,79.97,235.05,0.117,4.59
9,N2,Wind,179.7,381.21,0.082,9.77
18,N9,Wind,290.61,200.71,0.09,4.41
13,N5,Hydro,121.21,114.75,0.064,6.02
18,N6,Solar,62.87,211.46,0.095,3.92
17,N4,Solar,86.22,295.78,0.099,3.94
21,N6,Solar,218.03,404.65,0.062,7.83
10,N7,Solar,141.95,352.92,0.082,6.29
14,N5,Solar,72.57,434.12,0.066,3.49
19,N6,Wind,60.19,336.36,0.101,2.13
